date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:20:07	4293/4293	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Dec%202020%2004:16:42%20GMT	https://affixtheme.com/html/xmee/demo/register-23.html	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/register-23.html	(from https://affixtheme.com/html/xmee/demo/login-23.html)
16:20:07	30659/30659	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2010%20Dec%202020%2004:16:40%20GMT	https://affixtheme.com/html/xmee/demo/js/popper.min.js	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/js/popper.min.js	(from https://affixtheme.com/html/xmee/demo/login-23.html)
16:20:08	69632/69632	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2010%20Dec%202020%2004:16:40%20GMT	https://affixtheme.com/html/xmee/demo/js/bootstrap.min.js	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/js/bootstrap.min.js	(from https://affixtheme.com/html/xmee/demo/login-23.html)
16:20:08	129057/129057	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2010%20Dec%202020%2004:16:40%20GMT	https://affixtheme.com/html/xmee/demo/js/jquery-3.5.0.min.js	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/js/jquery-3.5.0.min.js	(from https://affixtheme.com/html/xmee/demo/login-23.html)
16:20:08	6983/6983	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2010%20Dec%202020%2004:16:40%20GMT	https://affixtheme.com/html/xmee/demo/js/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/js/imagesloaded.pkgd.min.js	(from https://affixtheme.com/html/xmee/demo/login-23.html)
16:20:08	9309/9309	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2010%20Dec%202020%2004:16:40%20GMT	https://affixtheme.com/html/xmee/demo/js/validator.min.js	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/js/validator.min.js	(from https://affixtheme.com/html/xmee/demo/login-23.html)
16:20:09	2023/2023	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2010%20Dec%202020%2005:52:12%20GMT	https://affixtheme.com/html/xmee/demo/js/main.js	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/js/main.js	(from https://affixtheme.com/html/xmee/demo/login-23.html)
16:20:10	72148/72148	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff2	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:11	84568/84568	---M--	200	added ('OK')	font/woff	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:11	125320/125320	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400d41d.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:11	125320/125320	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:11	125016/125016	---M--	200	added ('OK')	font/ttf	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.ttf	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:12	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Jun%202021%2011:20:11%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.svg	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:12	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:12	13608/13608	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff2	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:13	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400d41d.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:13	16812/16812	---M--	200	added ('OK')	font/woff	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:13	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Jun%202021%2011:20:12%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.svg	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:14	34092/34092	---M--	200	added ('OK')	font/ttf	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.ttf	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:15	74320/74320	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff2	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:15	186512/186512	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:16	96248/96248	---M--	200	added ('OK')	font/woff	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:16	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Jun%202021%2011:20:15%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.svg	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:16	4278/4278	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.eot	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/font/Flaticon.eot	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
16:20:16	4278/4278	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.eot?	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/font/Flaticond41d.eot	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
16:20:16	2368/2368	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.woff2	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/font/Flaticon.woff2	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
16:20:17	2972/2972	---M--	200	added ('OK')	font/woff	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.woff	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/font/Flaticon.woff	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
16:20:17	186228/186228	---M--	200	added ('OK')	font/ttf	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.ttf	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:17	4100/4100	---M--	200	added ('OK')	font/ttf	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.ttf	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/font/Flaticon.ttf	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
16:20:17	186512/186512	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.eot?	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900d41d.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
16:20:17	15197/15197	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.svg	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/font/Flaticon.svg	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
